system:index,BUI,Class,NDBI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,.geo
1_1_1_0_0,-0.39346096,0,-0.17377236,-0.13333099,0.019504999999999995,0.027315000000000006,0.04986499999999999,0.04032250000000001,0.030835,0.015655000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_0,-0.37463436,0,-0.21608172,-0.06738978,0.015490000000000004,0.027315000000000006,0.04934250000000001,0.039855,0.034822500000000006,0.01604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,-0.37710547,0,-0.15102409,-0.13731444,0.017249999999999988,0.028414999999999996,0.05212,0.042137499999999994,0.031962500000000005,0.019614999999999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3_0,-0.41066873,0,-0.22693059,-0.082902096,0.02187,0.028277499999999983,0.04978250000000001,0.03897500000000001,0.033007499999999995,0.01865249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4_0,-0.37558043,0,-0.16013777,-0.11485634,0.023629999999999984,0.030725000000000002,0.050360000000000016,0.03977249999999999,0.03157750000000001,0.01859749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5_0,-0.3778626,0,-0.19144106,-0.11200927,0.021842499999999987,0.0321275,0.0532475,0.04436499999999999,0.0354275,0.019037499999999985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_6_0,-0.3918928,0,-0.16778645,-0.16586141,0.022694999999999993,0.0327325,0.05245,0.044942499999999996,0.03215499999999999,0.017194999999999988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_7_0,-0.3945043,0,-0.14619368,-0.15894017,0.021732499999999988,0.029569999999999985,0.05030499999999999,0.040404999999999996,0.0293225,0.018130000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_8_0,-0.36727646,0,-0.23678729,-0.059382703,0.033310000000000006,0.04122999999999999,0.05343999999999999,0.04513500000000001,0.040075,0.0175525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_9_0,-0.3727132,0,-0.19650151,-0.12043187,0.03135750000000001,0.038012500000000005,0.05327500000000002,0.04618,0.03625249999999999,0.01843249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_10_0,-0.37165794,0,-0.1348104,-0.15574943,0.027012499999999995,0.031247499999999984,0.049122499999999986,0.040404999999999996,0.029514999999999986,0.018707499999999988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_11_0,-0.3672896,0,-0.20536703,-0.11616572,0.025747500000000006,0.035729999999999984,0.052312499999999984,0.04637250000000001,0.03672,0.019972500000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_12_0,-0.28878936,0,-0.1334142,-0.09458641,0.024290000000000006,0.034272499999999984,0.05179,0.04519000000000001,0.03738,0.021952499999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_13_0,-0.09238098,0,-0.39470398,0.38158733,0.014967499999999995,0.02682000000000001,0.049589999999999995,0.042495000000000005,0.09493750000000001,0.0324025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_14_0,-0.2246827,0,-0.4246542,0.31013173,0.014637499999999998,0.025582500000000008,0.04631750000000001,0.0382325,0.07260749999999999,0.02140249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_15_0,-0.2017396,0,-0.4675272,0.38658,0.01593,0.024895,0.0445575,0.036087499999999995,0.08157249999999999,0.017992499999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_16_0,-0.25711152,0,-0.13782267,-0.025116723,0.0202475,0.029624999999999985,0.04585,0.037599999999999995,0.0357575,0.021815,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_17_0,-0.24022456,0,-0.25797045,0.091004044,0.01852875000000001,0.027122499999999994,0.047774999999999984,0.04133999999999999,0.04961750000000001,0.024070000000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_18_0,-0.31929338,0,-0.15150468,-0.059358798,0.01785500000000001,0.026641250000000005,0.047609999999999986,0.037544999999999995,0.03333749999999999,0.021100000000000008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_19_0,-0.17263316,0,-0.31506646,0.22036009,0.015435000000000004,0.02781,0.04884749999999999,0.04227500000000001,0.06617250000000002,0.023684999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_20_0,-0.1117338,0,-0.37655953,0.36639825,0.014389999999999986,0.02453749999999999,0.047609999999999986,0.038947499999999996,0.08399250000000003,0.022997500000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_21_0,-0.29308307,0,-0.17761576,-0.008484926,0.013991249999999983,0.02610499999999999,0.04926,0.039222499999999993,0.0385625,0.023629999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_22_0,-0.2813318,0,-0.19847271,-0.013556816,0.01582,0.025554999999999994,0.047719999999999985,0.04111999999999999,0.04002,0.018295000000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_23_0,-0.21608129,0,-0.20706347,0.055012207,0.020343749999999994,0.02886875,0.051460000000000006,0.04523125,0.05049749999999997,0.02453749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_24_0,-0.32473755,0,-0.15103197,-0.06822989,0.02140249999999999,0.03069749999999999,0.04700499999999999,0.037242499999999984,0.032484999999999986,0.0204125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_25_0,-0.34037292,0,-0.15492958,-0.10181116,0.024345000000000006,0.032539999999999986,0.05014000000000002,0.0413675,0.03372249999999999,0.01879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_26_0,-0.34513518,0,-0.107407756,-0.13961631,0.02495,0.03292500000000001,0.04882,0.039057499999999995,0.0294875,0.017524999999999985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_27_0,-0.39984182,0,-0.2454168,-0.07194639,0.024317499999999992,0.0327325,0.0508825,0.0415875,0.03600500000000001,0.01650750000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_28_0,-0.405571,0,-0.21327367,-0.12172739,0.024716249999999995,0.030835,0.049892500000000006,0.041559999999999986,0.032539999999999986,0.015765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_29_0,-0.38373023,0,-0.20511015,-0.08511321,0.023244999999999988,0.03047749999999999,0.04749999999999999,0.03803999999999999,0.032072500000000004,0.01582,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_30_0,-0.38373023,0,-0.20511015,-0.08511321,0.023244999999999988,0.03047749999999999,0.04749999999999999,0.03803999999999999,0.032072500000000004,0.01582,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_31_0,-0.39535537,0,-0.22568163,-0.10417626,0.0232725,0.031247499999999984,0.049644999999999995,0.041972499999999996,0.034052499999999986,0.016424999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_32_0,-0.39931506,0,-0.21433371,-0.1265264,0.021842499999999987,0.029239999999999988,0.05107499999999998,0.043704999999999994,0.03388749999999999,0.01708499999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_33_0,-0.38459477,0,-0.19396438,-0.11892277,0.023093749999999996,0.031852500000000006,0.051680000000000004,0.04321,0.034025,0.017607499999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_34_0,-0.33604464,0,-0.13429523,-0.12914221,0.02615999999999999,0.03528999999999999,0.05297249999999998,0.0447225,0.03449250000000001,0.01983499999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_35_0,0.07795411,0,-0.003046328,0.03720068,0.037215,0.05247750000000001,0.08083000000000001,0.08825499999999997,0.09507500000000002,0.07412000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_36_0,-0.37388322,0,-0.17014769,-0.12127576,0.020797499999999997,0.028799999999999992,0.052092499999999986,0.042715,0.033475000000000005,0.01843249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_37_0,-0.38234118,0,-0.17429233,-0.13333115,0.021746249999999995,0.02974874999999999,0.0519,0.043127499999999985,0.03298000000000001,0.017882499999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_38_0,-0.39075214,0,-0.17083052,-0.14313951,0.021278749999999985,0.030615000000000003,0.052559999999999996,0.043375,0.0325125,0.017827499999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_39_0,-0.40172908,0,-0.20780012,-0.13121888,0.021320000000000006,0.030917499999999987,0.053302499999999975,0.045162499999999994,0.034684999999999994,0.018185000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_40_0,-0.39553583,0,-0.17761344,-0.15243134,0.021265000000000006,0.031,0.054237499999999994,0.04574,0.03364,0.018350000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_41_0,-0.3622419,0,-0.16972035,-0.12670986,0.022557500000000008,0.033420000000000005,0.05517250000000001,0.04694999999999999,0.036390000000000006,0.019229999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_42_0,-0.36710653,0,-0.1790616,-0.12987663,0.022887500000000005,0.03479499999999999,0.05555749999999998,0.047967499999999996,0.03694,0.01931250000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_43_0,-0.38383934,0,-0.16867678,-0.15947956,0.024812499999999987,0.03533125000000001,0.05418250000000002,0.04678499999999999,0.033915,0.019752500000000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_44_0,-0.38012213,0,-0.18668704,-0.12785651,0.023836250000000003,0.034052499999999986,0.054815,0.046454999999999996,0.035922499999999996,0.020549999999999985,"{""type"":""MultiPoint"",""coordinates"":[]}"
